 TIME                    	TAIR_PEG_V1              	TAIR_PEG_V2              	TAIR_PEG_V3              	TAIR_PEG_V4              	TAIR_PEG_V5              	TAIR_PEG_V6              	TAIR_PEG_V7              	
  +4.4000000000000000E+01	  +2.6456447483780906E+01	  +2.5158146855410980E+01	  +2.5148590145536165E+01	  +2.5386964721651633E+01	  +2.5386963986027361E+01	  +2.5148476160301612E+01	  +2.5146475665953403E+01	
  +4.5000000000000000E+01	  +2.6812158197793533E+01	  +2.5398915341824345E+01	  +2.5388032935362109E+01	  +2.5636264637216961E+01	  +2.5636263782337686E+01	  +2.5387905797005910E+01	  +2.5385644082381081E+01	
  +4.6000000000000000E+01	  +2.7182917991715762E+01	  +2.5649453163981004E+01	  +2.5637077783164223E+01	  +2.5895254009973339E+01	  +2.5895253009484492E+01	  +2.5636935786437011E+01	  +2.5634397122626346E+01	
  +4.7000000000000000E+01	  +2.7560896269814126E+01	  +2.5903892900672410E+01	  +2.5889849540085876E+01	  +2.6158021370132616E+01	  +2.6158020213669385E+01	  +2.5889690635300990E+01	  +2.5886859018835981E+01	
  +4.8000000000000000E+01	  +2.7953481181640488E+01	  +2.6167975834443542E+01	  +2.6152077475799764E+01	  +2.6430347306311173E+01	  +2.6430345894487509E+01	  +2.6151899360086905E+01	  +2.6148758799154042E+01	
  +4.9000000000000000E+01	  +2.8353602053873573E+01	  +2.6436222190125939E+01	  +2.6418277099377161E+01	  +2.6706695423725343E+01	  +2.6706693715382787E+01	  +2.6418077185231979E+01	  +2.6414611665403022E+01	
  +5.0000000000000000E+01	  +2.8762779593414518E+01	  +2.6710302976376489E+01	  +2.6690112664913578E+01	  +2.6988737384035566E+01	  +2.6988735483548449E+01	  +2.6689888145816550E+01	  +2.6686082171252810E+01	
  +5.1000000000000000E+01	  +2.9181230596155480E+01	  +2.6990283321039051E+01	  +2.6967637625918190E+01	  +2.7276539777943697E+01	  +2.7276537627972274E+01	  +2.6967385202346808E+01	  +2.6963222909029877E+01	
  +5.2000000000000000E+01	  +2.9611430275362515E+01	  +2.7278075910191905E+01	  +2.7252755680286906E+01	  +2.7572025193157081E+01	  +2.7572022735104255E+01	  +2.7252471663324251E+01	  +2.7247936798732823E+01	
  +5.3000000000000000E+01	  +3.0047498278575496E+01	  +2.7569355980064305E+01	  +2.7541141998536069E+01	  +2.7870813995339091E+01	  +2.7870811211915015E+01	  +2.7540822701168558E+01	  +2.7535900262543493E+01	
  +5.4000000000000000E+01	  +3.0494345445202427E+01	  +2.7868064056116157E+01	  +2.7836722965051436E+01	  +2.8176884154565446E+01	  +2.8176880991821953E+01	  +2.7836363888358363E+01	  +2.7831037684725324E+01	
  +5.5000000000000000E+01	  +3.0950554685587477E+01	  +2.8172905596191399E+01	  +2.8138199012091935E+01	  +2.8488921215517284E+01	  +2.8488917634710877E+01	  +2.8137795268257882E+01	  +2.8132049415645685E+01	
  +5.6000000000000000E+01	  +3.1426974319797779E+01	  +2.8491866041542732E+01	  +2.8453557500926628E+01	  +2.8814878746339460E+01	  +2.8814874697325077E+01	  +2.8453104025253076E+01	  +2.8446923516666242E+01	
  +5.7000000000000000E+01	  +3.1913325552058058E+01	  +2.8816818061173535E+01	  +2.8774655673668494E+01	  +2.9146654377321337E+01	  +2.9146649802780129E+01	  +2.8774146720173132E+01	  +2.8767515547510172E+01	
  +5.8000000000000000E+01	  +3.2402819099732824E+01	  +2.9143728908131330E+01	  +2.9097455023151809E+01	  +2.9480208344423026E+01	  +2.9480203172907860E+01	  +2.9096884455042552E+01	  +2.9089786673300249E+01	
  +5.9000000000000000E+01	  +3.2898929757391308E+01	  +2.9475587763119243E+01	  +2.9424949002596499E+01	  +2.9818488202768329E+01	  +2.9818482368326993E+01	  +2.9424310724218000E+01	  +2.9416731666991229E+01	
  +6.0000000000000000E+01	  +3.3402200881929296E+01	  +2.9812635552484142E+01	  +2.9757361472090473E+01	  +3.0161765151818191E+01	  +3.0161758567964970E+01	  +2.9756648244687732E+01	  +2.9748571870137390E+01	
  +6.1000000000000000E+01	  +3.3915225806588957E+01	  +3.0156718497907402E+01	  +3.0096535140742549E+01	  +3.0511873670912781E+01	  +3.0511866246077986E+01	  +3.0095739204352277E+01	  +3.0087149650456347E+01	
  +6.2000000000000000E+01	  +3.4432187744242569E+01	  +3.0503764998982298E+01	  +3.0438405755050542E+01	  +3.0864707451117194E+01	  +3.0864699087928432E+01	  +3.0437519187278227E+01	  +3.0428402087444848E+01	
  +6.3000000000000000E+01	  +3.4958349664655280E+01	  +3.0857747634222285E+01	  +3.0786928670157270E+01	  +3.1224267647000197E+01	  +3.1224258230861516E+01	  +3.0785942807445348E+01	  +3.0776282149611010E+01	
  +6.4000000000000000E+01	  +3.5492533368146695E+01	  +3.1217574277782493E+01	  +3.1141009454445722E+01	  +3.1589454448318477E+01	  +3.1589443852176707E+01	  +3.1139915262100455E+01	  +3.1129695210290869E+01	
  +6.5000000000000000E+01	  +3.6159493278855798E+01	  +3.1671293593208866E+01	  +3.1588709880171141E+01	  +3.2048279179777282E+01	  +3.2048267275791659E+01	  +3.1587497925615079E+01	  +3.1576704458411147E+01	
  +6.6000000000000000E+01	  +3.6675834451728477E+01	  +3.2011521181240361E+01	  +3.1922623189522678E+01	  +3.2393393317811537E+01	  +3.2393379948891095E+01	  +3.1921283234441351E+01	  +3.1909900256504997E+01	
  +6.7000000000000000E+01	  +3.7156208096382393E+01	  +3.2336538328001339E+01	  +3.2241023358245464E+01	  +3.2723064038712963E+01	  +3.2723049029365370E+01	  +3.2239544546498344E+01	  +3.2227556065912346E+01	
  +6.8000000000000000E+01	  +3.7727768854458255E+01	  +3.2728563974508788E+01	  +3.2626133318105332E+01	  +3.3119488186159451E+01	  +3.3119471246779497E+01	  +3.2624504502571149E+01	  +3.2611895603591677E+01	
  +6.9000000000000000E+01	  +3.8257908750099084E+01	  +3.3088779674467347E+01	  +3.2979148622185804E+01	  +3.3483830892411497E+01	  +3.3483812018334156E+01	  +3.2977358516235562E+01	  +3.2964115466497191E+01	
  +7.0000000000000000E+01	  +3.8832136637732589E+01	  +3.3482953054753665E+01	  +3.3365819103188009E+01	  +3.3881893036921753E+01	  +3.3881872010177936E+01	  +3.3363855140522979E+01	  +3.3349961923936156E+01	
  +7.1000000000000000E+01	  +3.9391904046393933E+01	  +3.3865379207032326E+01	  +3.3740440894363473E+01	  +3.4267977277806274E+01	  +3.4267953770727182E+01	  +3.3738289845763077E+01	  +3.3723730594574874E+01	
  +7.2000000000000000E+01	  +3.9971072392224244E+01	  +3.4264084677626727E+01	  +3.4131070697294980E+01	  +3.4670070694298104E+01	  +3.4670044518599674E+01	  +3.4128719522822927E+01	  +3.4113481317519863E+01	
  +7.3000000000000000E+01	  +4.0547019033120563E+01	  +3.4660165302633949E+01	  +3.4518776436279445E+01	  +3.5069309911115838E+01	  +3.5069280732474049E+01	  +3.4516210799768963E+01	  +3.4500277520333185E+01	
  +7.4000000000000000E+01	  +4.1137962791685752E+01	  +3.5068674766826149E+01	  +3.4918617634592280E+01	  +3.5480738867858236E+01	  +3.5480706428629418E+01	  +3.4915822820735670E+01	  +3.4899178995646928E+01	
  +7.5000000000000000E+01	  +4.1726231369225665E+01	  +3.5475642953095601E+01	  +3.5316649653085747E+01	  +3.5890362397607120E+01	  +3.5890326379511819E+01	  +3.5313610881446131E+01	  +3.5296243438196790E+01	
  +7.6000000000000000E+01	  +4.2325451561712605E+01	  +3.5892071484003189E+01	  +3.5723846536993570E+01	  +3.6309211448663383E+01	  +3.6309171519079861E+01	  +3.5720547844834158E+01	  +3.5702441035090644E+01	
  +7.7000000000000000E+01	  +4.2929167882270676E+01	  +3.6312095134126047E+01	  +3.6134346087355397E+01	  +3.6731418738109312E+01	  +3.6731374521643843E+01	  +3.6130770961385323E+01	  +3.6111909290767123E+01	
