 TIME                    	QSENS_PEG_V1             	QSENS_PEG_V2             	QSENS_PEG_V3             	QSENS_PEG_V4             	QSENS_PEG_V5             	QSENS_PEG_V6             	QSENS_PEG_V7             	
  +3.4000000000000000E+01	  -2.1092008865851285E+03	  -1.9129051060789020E+03	  -1.9132631677268073E+03	  -1.9132812269301401E+03	  -1.9132810928845224E+03	  -1.9132809800698390E+03	  -1.9132809243164254E+03	
  +3.5000000000000000E+01	  -1.9233477698086358E+03	  -1.7213508806100538E+03	  -1.7215048513340703E+03	  -1.7215229635895269E+03	  -1.7215228348558812E+03	  -1.7215227199196165E+03	  -1.7215226631086207E+03	
  +3.6000000000000000E+01	  -1.6529950373205468E+03	  -1.4736412250937526E+03	  -1.4735974431825059E+03	  -1.4736154475410494E+03	  -1.4736153218725935E+03	  -1.4736152036744261E+03	  -1.4736151452372449E+03	
  +3.7000000000000000E+01	  -7.5315774367528491E+02	  -7.5898948472971256E+02	  -7.5875818664072733E+02	  -7.5877625071432851E+02	  -7.5877628884030321E+02	  -7.5877624699972057E+02	  -7.5877622635940713E+02	
  +3.8000000000000000E+01	  -1.2416181572141472E+03	  -1.1180650106020466E+03	  -1.1176612925804552E+03	  -1.1176790278752305E+03	  -1.1176791141501342E+03	  -1.1176790914877256E+03	  -1.1176790803265908E+03	
  +3.9000000000000000E+01	  -1.2749430167384878E+03	  -1.1315277972965362E+03	  -1.1309803816873293E+03	  -1.1309975580856999E+03	  -1.1309976528826930E+03	  -1.1309976299176972E+03	  -1.1309976185831895E+03	
  +4.0000000000000000E+01	  -1.6639785459121174E+03	  -1.4269408449914554E+03	  -1.4262772794352059E+03	  -1.4262937814973445E+03	  -1.4262938976086898E+03	  -1.4262938808813678E+03	  -1.4262938726081939E+03	
  +4.1000000000000000E+01	  -1.8722850758258580E+03	  -1.5834805282252805E+03	  -1.5827148555432439E+03	  -1.5827305513804693E+03	  -1.5827306871770406E+03	  -1.5827306761375955E+03	  -1.5827306706470158E+03	
  +4.2000000000000000E+01	  -2.0218434892665973E+03	  -1.7039531284593224E+03	  -1.7030830930890975E+03	  -1.7030978738987426E+03	  -1.7030980308578389E+03	  -1.7030980265488565E+03	  -1.7030980243520924E+03	
  +4.3000000000000000E+01	  -2.1558435203512513E+03	  -1.8180210783859159E+03	  -1.8170313697783004E+03	  -1.8170451684352702E+03	  -1.8170453593644943E+03	  -1.8170453684380877E+03	  -1.8170453728069162E+03	
  +4.4000000000000000E+01	  -2.2177474444668896E+03	  -1.8649630985210745E+03	  -1.8638334251193419E+03	  -1.8638461285439625E+03	  -1.8638463360145199E+03	  -1.8638463502779587E+03	  -1.8638463571621119E+03	
  +4.5000000000000000E+01	  -2.3260973684351388E+03	  -1.9590011174142235E+03	  -1.9577114730895978E+03	  -1.9577230184355146E+03	  -1.9577232437446617E+03	  -1.9577232642834467E+03	  -1.9577232742173194E+03	
  +4.6000000000000000E+01	  -2.3724717223653633E+03	  -1.9930511756639789E+03	  -1.9915847240545600E+03	  -1.9915950419251703E+03	  -1.9915952803262305E+03	  -1.9915953052704001E+03	  -1.9915953173276814E+03	
  +4.7000000000000000E+01	  -2.4371591415580847E+03	  -2.0458641679127716E+03	  -2.0442078412598073E+03	  -2.0442168682357287E+03	  -2.0442171175700630E+03	  -2.0442171463622813E+03	  -2.0442171602708652E+03	
  +4.8000000000000000E+01	  -2.4921082667717442E+03	  -2.0895667137144078E+03	  -2.0877108852639158E+03	  -2.0877185570285665E+03	  -2.0877188161809904E+03	  -2.0877188487765607E+03	  -2.0877188645074298E+03	
  +4.9000000000000000E+01	  -2.5145234719064865E+03	  -2.1020827455366862E+03	  -2.1000206158146334E+03	  -2.1000268603712375E+03	  -2.1000271269245700E+03	  -2.1000271626592012E+03	  -2.1000271798828780E+03	
  +5.0000000000000000E+01	  -2.5635706909610553E+03	  -2.1412885644843072E+03	  -2.1390155612805097E+03	  -2.1390203070175362E+03	  -2.1390205813932034E+03	  -2.1390206210123247E+03	  -2.1390206400958746E+03	
  +5.1000000000000000E+01	  -2.5659428589818235E+03	  -2.1353384340640523E+03	  -2.1328517802727138E+03	  -2.1328549409089305E+03	  -2.1328552187326682E+03	  -2.1328552606219887E+03	  -2.1328552807682513E+03	
  +5.2000000000000000E+01	  -2.6023312002612647E+03	  -2.1633515204341943E+03	  -2.1606498784766554E+03	  -2.1606513750767949E+03	  -2.1606516574319926E+03	  -2.1606517026759129E+03	  -2.1606517244205861E+03	
  +5.3000000000000000E+01	  -2.6300323501159419E+03	  -2.1831385653635880E+03	  -2.1802218547285311E+03	  -2.1802215763104814E+03	  -2.1802218496621963E+03	  -2.1802218921329450E+03	  -2.1802219124515955E+03	
